Category,Language,Weeks to achieve goal,Class hours,Title,Description
Category I,Danish,24,600,World languages,Languages closely cognate with English
Category I,Dutch,24,600,World languages,Languages closely cognate with English
Category I,French,30,750,World languages,Languages closely cognate with English
Category I,Italian,24,600,World languages,Languages closely cognate with English
Category I,Norwegian,24,600,World languages,Languages closely cognate with English
Category I,Portuguese,24,600,World languages,Languages closely cognate with English
Category I,Romanian,24,600,World languages,Languages closely cognate with English
Category I,Spanish,24,600,World languages,Languages closely cognate with English
Category I,Swedish,24,600,World languages,Languages closely cognate with English
Category II,German,36,900,Category II languages,Languages that take a little longer than Category I languages
Category II,Haitian Creole,36,900,,Languages that take a little longer than Category I languages
Category II,Indonesian,36,900,,Languages that take a little longer than Category I languages
Category II,Malay,36,900,,Languages that take a little longer than Category I languages
Category II,Swahili,36,900,,Languages that take a little longer than Category I languages
Category III,Albanian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Amharic,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Armenian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Azerbaijani,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Bengali,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Bulgarian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Burmese,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Czech,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Dari,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Estonian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Farsi,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Finnish,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Georgian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Greek,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Gujarati,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Hausa,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Hebrew,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Hindi,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Hungarian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Icelandic,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Kazakh,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Khmer,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Kurdish,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Kyrgyz,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Lao,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Latvian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Lithuanian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Macedonian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Mongolian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Nepali,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Pashto,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Polish,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Russian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Serbo-Croatian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Sinhala,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Slovak,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Slovenian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Somali,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Tagalog,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Tajiki,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Tamil,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Telugu,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Thai,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Tibetan,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Turkish,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Turkmen,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Ukranian,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Urdu,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Uzbek,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category III,Vietnamese,44,1100,Hard languages,Languages with significant linguistic and/or cultural differences from English
Category IV,Arabic,88,2200,Super-hard languages,Languages which are exceptionally difficult for native English speakers
Category IV,Chinese - Cantonese,88,2200,Super-hard languages,Languages which are exceptionally difficult for native English speakers
Category IV,Chinese - Mandarin,88,2200,Super-hard languages,Languages which are exceptionally difficult for native English speakers
Category IV,Japanese,88,2200,Super-hard languages,Languages which are exceptionally difficult for native English speakers
Category IV,Korean,88,2200,Super-hard languages,Languages which are exceptionally difficult for native English speakers
