wrong,correct
data visualisations,data visualization
data visualisation,data visualization
data visualizations,data visualization
ml,machine learning
ai,artificial intelligence
js,java script
node js,node.js
nodejs,node.js
node,node.js
ms word,microsoft word
word,microsoft word
statistical,statistics
analytical,analytics
data analytical,data analytics
visualisation,data visualization
visualisations,data visualization
visualization,data visualization
visualizations,data visualization
mining,data mining
neural networks,neural network
natural language processing,nlp
image recognition systems,image recognition system
data analysis,data analytics
ir,information retrieval
analysis,data analytics
optimisation technique,optimisation techniques
optimization techniques,optimisation techniques
optimization technique,optimisation techniques
big table sql,bigtable sql
microsoft excel,excel
modelling,data modelling
tensor flow,tensorflow
graph databases,graph database
postgres,postgresql
nonaws,non aws
gcp,google cloud platform
